Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
293193,B000LKXNG2,AUQ3GH498JMW4,"RC ""RC""",1,1,5,1236729600,Great Tasting Maple Syrup,"I buy this maple syrup every time I do a Master Cleanse.  I love that it is organic and the taste, to me, is perfect.  Some grade B syrups are very disappointing by being too dark and on the molassas side, not this one.  I might also add that my kids love this and always steal it for their pancakes.  Of course that makes me happy because I hate for them to use processed fake syrups since they are so bad for them."
293194,B000LKXNG2,A2RVITCCMBYAP9,"B. A. Cooper ""world traveler""",1,1,5,1206403200,Flavorful syrup to make your day!,This syrup is great on everything. I especially like putting it on my Brown Cow yogurt. I will definitely reorder this item.
293195,B000LKXNG2,A2LLFU81UNPHT8,"K (or D) ""K (or D)""",3,4,5,1192924800,Love the no-drip spout!,"Maple syrup is always good, but what makes this product a winner is the no-drip spout.  I haven't had to wipe any maple syrup off of the side of the bottle!"
293196,B000LKXNG2,A3AFHH1JB14JKZ,Stefan Montgomery,0,0,5,1324598400,Great tasting,I use this syrup on pancakes and to make homemade granola. It is great tasting with lots of maple flavor. I love the spill resistant spout. Good value instead of going to the grocery store for pure maple syrup.
293197,B000LKXNG2,A1L9E4OA926W9B,Jeanne Scott,0,0,5,1273104000,Good Syrup,This is a good product but with great prices at Costco I can find this cheaper locally.
293198,B000LKXNG2,A144RR4UKHHIVM,George F. Haskins,0,0,5,1246147200,Perfect for the Master Cleanse.,I purchased this 32-oz jug of the required Grade B organic maple syrup as one of the necessary ingredients for the Master Cleanse. I had no idea if it would be enough for the 14-day program but it was exactly the right amount. I highly recommend it.
293199,B000LKXNG2,A1Z7ZQ7UOE866F,Yvonny,0,0,4,1240185600,very good product,This product was very good; but I don't see any difference between grade A and Grade B.  [...].
293200,B000LKXNG2,A6WCCC790FP7B,Johnny Five-Hancock-Twain,0,0,5,1240099200,Delicious. Why Organic?,"This real maple syrup is FANTASTIC! I'm confused though as to the benefits of it being Organic. I want to believe that it being organic makes it better quality, but it tastes the same as natural maple syrup. Neither has added ingredients, preservatives, or residual pesticides to my knowledge. So while I love this organic version, I will probably opt in the future for a cheaper natural alternative, unless someone gives me a good reason for sticking to the organic kind."
293201,B000LKXNG2,A10BI85AM7ELMU,Eva M. Wilson,0,0,5,1238630400,Grade B Maple Syrup is the Best,"This order arrived in a timely fashion and in one piece and not broken due to being packed improperly (as has happened in the past). It is delicious maple syrup and has a deep maple flavor.  Grade B has more flavor than Grade A.  If I could order grade C with an even deeper maple flavor, I would order that, if possible!  I am very happy with this syrup. The local stores has 32-oz of maple syrup for the same price, but they only carry Grade A."
293202,B000LKXNG2,A36VGXGQTCRH7M,S. Jewett,0,0,5,1234569600,Good stuff,"I initially got this for my lemon cleanse. Since you can eat up alot of money for a 10 day cycle, this is a good bang-for-the-buck option. I had some left over and started to use it with my oatmeal. It was so good with it, my wife started eating it as well! (and she hates oatmeal).<br /><br />Compared to other options at the stores, you really cannot beat the price for this organic option. I will be buying more soon!"
293203,B000LKXNG2,AT4S516XMKUMA,C. Her,0,0,5,1234137600,Good syrup,This is one of the better tasting maple syrups in my book. I've ordered two other brands before and they don't compare as well to this one.
293204,B000LKXNG2,A33V25YY4H6ER2,Cynthia Little,0,0,5,1228435200,Some REAL Good Stuff,"As others have also done, I originally purchased this to try the Lemon Cleanse and have been hooked on it since. Very nice, smooth taste and pretty good deal for the price considering it is orgranic.  Because of it's smoothness, I feel this is real close to a Grade A syrup. Very happy that I gave this one a try; have purchased several bottles after going thru the first and will continue to do so."
293205,B000LKXNG2,A2QRKOCQH5PR1D,"Ronald M. Bowren ""Ronbo""",0,0,5,1225065600,"Great buy, and great taste","Let me add my 5 stars to this products rating. I tried some of the Grade A syrup, and didn't like it on my hot cakes or with my lemonade cleanse diet drink. After reading the posts on this Grade B syrup I decided to give it a try. I could not believe how great it tasted, and it really improved the taste of the drink. Just ordered two more 32 oz bottles. Before I placed my second order tonight I found an off brand of Grade B MS at a local store I shop at once in a while. It was 14.00 for a 13 oz bottle, that convinced me what a great buy this was, and with the order of two there is no s/h charges!"
293206,B000LKXNG2,A2Q6AD6SFR25VD,"Amy Adams ""Lazy A Farm""",0,0,5,1211673600,A Sweet Tooth's Best Friend,This organic maple syrup is a treat. It tastes absolutely delicious and you know you are eating a wholesome natural product. It's the real thing and you can taste it. I would highly recommend this product by Shady Maple Farms to anyone who has a sweet tooth or who cares about the quality of the food they ingest. Amy
293207,B000LKXNG2,A28N9WQIFOR3KH,"Darlene ""Carolina Ruby""",0,0,5,1211587200,Delicious Syrup,"This maple syrup is delicious!  My favorite way to use it is to to sweeten yogurt.  It is an excellent value, too."
293208,B000LKXNG2,A1Q62UR616L5G1,"Krystyna Thomas ""Krystyna""",0,0,5,1205107200,Great taste & great for use in the Master Cleanse,"This stuff tastes amazing...  I used it during the Master Cleanse & it's the perfect amount for the 10 day time frame.  If you plan to go longer, I suggest getting more than 32 ounces.  I feel bad for anyone using the grocery store bought stuff on their pancakes and waffles - there is just no comparison!"
293209,B000LKXNG2,A3KTFMHASRH0VE,"Randal L. Zelhart ""Lee Zelhart""",5,8,4,1181174400,"product good, beware of seller","I got this order in good time and the syrup is good, but when I got the package the bottle wasn't wrapped up and the lid had come open and some of the syrup had leaked out(just about a Tablespoon full)inside the box. This is the only problem I have with this seller, but the product is excellent. If the seller had wrapped the bottle before shipping I would have given five stars instead."
293210,B000LKXNG2,A107DC2GDTLXOJ,CGR,1,2,4,1209340800,Closer to Grade A than B - excellent value.  Arrived on time.,"It arrived on time; it is tasty maple syrup, closer to A than other B grades that I've tasted; and the price was right."
293211,B000LKXNG2,A2QHY0H839JIYX,"Deb Machinnley ""tomtom""",0,1,5,1243468800,Yum Yum,"Organic living is the only way to go and Shady Maple Farms makes the tastiest organic maple syrup on the market. Hey, tastes great and is good for you, what more needs to be said? Enjoy."
293212,B000LKXNG2,A3U4N3ZBZT2SRP,D. Worden,0,1,5,1217462400,Great taste,This is a great product.  Great taste and texture.  I will definitely purchase more.
293213,B000LKXNG2,A1EAH433QK3L3E,Albert I. Reiner,6,17,3,1203984000,the canadian standard for pure is NOT 100 %,"to the best of my knowledge Maple syrup from Canada only needs 80% maple to be considered pure. NY 90% , Vermont 100%  I wonder if this product ignores Canada's Standard."
293214,B000LKXNG2,A5OT517BLENV7,Honest Review,0,7,3,1290816000,Buy your own tree,"It's a tasty syrup, as expected. Originally purchased for one of those 'alternative' diet programs, but only used for a condiment. I enjoyed it, bought more than a few initially, but it's an expensive syrup and I'm sure you can find the same for less money."
293215,B000LKXNG2,A3JWXE8KE124BV,"reddogs ""reddogs""",1,25,1,1210550400,A  Real Mess,The top was NOT secured with tape before shipping. DHL delivered the syrup soaked box. I opened it to find an empty bottle with the cap lying next to it. Amazon issued a refund.
293216,B003SBRSOY,AS8G14OW7DRN0,Marilyn Self,1,1,5,1293494400,Self Beauty Elixir,What a hoot that my daughter found this product in a local store just before Christmas. Our last name is SELF and it was a hit just for that alone but it also tasted so delicious and is nutritions to boot.  One of my daughter's said it would have been fun if we had found it for our 50th anniversary celebration.  I am even saving the can of it  (after i already drank it.) that my daughter put in my Christmas present.  We hope we can find it more in local stores in our area.  We will be looking for this one regularly.  It will be a constant at our family gatherings from now on.
293217,B000TMUDOW,A1RFUI12SXX4GU,L. Torok,1,1,5,1237334400,very good service,I ordered from Oberby Farm Hip Bones.My dog loves these cookies and even his vet said they were good for him.I really appreciate how quickly  they arrived.I will order from them the next time.It was pretty easy.Thanks. Lynda.
293218,B000TMUDOW,A3BIRVF73RJZEJ,"P. Schiffman ""PS""",1,1,5,1219449600,Yum,Our Aikido loves these treats. Our bunny tries to steal them from him. The treats seem to help with our dog's arthritis.
293219,B000TMUDOW,A2NLIAVKPG2OP4,Doodle Owner,0,0,5,1335744000,Tasty Treats,Our doodle loves these treats and we are happy to give her something that is nutritious and tasty. The treats are easy to break in half so we don't overfeed her.  Hope the new owner/distributor stays out of the product composition as we were happy when dealing direct with Overby.
293220,B000TMUDOW,A2SYV4HGVX3RNU,Sisdeh,0,0,5,1323388800,Pups love these!,And they are good for their joints. :) They come in small and medium.  The medium ones are good for stuffing Kongs and the small ones for training treats.
293221,B000TMUDOW,A3IJLFJLKFTD2F,Helen K,0,0,5,1322956800,overby farms cherry bones,"I love this product for my old dog. I believe it really helps. Cal vets has the best price, I'll stick with them. They came in mail quickly."
293222,B000TMUDOW,A3R3LZF9Q7JR6X,"Rebecca A. Buchholz ""bargain buff""",0,0,5,1309910400,What a difference - truly great product!,"I have an older dog (almost 14) and he was having alot of problems getting up and down.  Hips and other joints were painful and I did not want to give him drugs.  Within 3 days of starting these, he was running and happy again.<br /><br />To anyone who has older dogs - give these a try - they're all natural and cheaper than you can buy elsewhere!"
293223,B000TMUDOW,A2T3O49FCPH0WF,Kevin Hoffman,0,0,5,1305849600,Quality Dog Treats,"These treats do very well for my 12 year old yellow lab. She still runs and acts like a puppy sometimes.  Joint movement has not been an issue for her at all.  I have been feeding her these treats since 2006.  It could be coincidence, but I am sure the treats help keep her mobile.<br /><br />AND...they are made in America with quality ingredients.  None of that poison found in treats from China."
293224,B001E170CU,A2445D72UBPUN5,EndlessNewFan,3,3,5,1254960000,It works!,"I dont take it to lose weight, this is a laxative tea, as all the ones labeled ""weight loss tea"" .I'm very constipated and taking this tea everyday has helped me very much, with no cramps or other negative effects. It's strong and dont recommend it for ocassional constipation or for losing weight. Warning: when it works you ""have"" to go."
293225,B001E170CU,A1EMN4T3ROJDOO,"Karen E. Koch ""ditzychick""",2,3,1,1303430400,Watch out for this tea,"Oh my gosh.  I bought this tea and drank my first cup in the late afternoon.  By evening I was having the worst stomach cramps and diarrhea.  I belatedly looked at the ingredients and the first one is senna leaves.  During internet research I discovered that some individuals may experience discomfort or cramping after using senna products.  Also the following admonition - don't take senna for more than a week or so or your body could end up relying on it to contract your bowels.<br /><br />Side effects can include:<br />*diarrhea<br />*intestinal cramps or gripping pains<br />*rash<br />*severe weight loss<br /><br />Senna should not be used by persons with Crone's disease, Diverticular disease and other similar diseases.<br /><br />Senna is not a daily or causal supplement and excessive use can cause liver damage.<br /><br />I wanted to die my insides hurt so bad.  Any weight loss you may accomplish with this tea may not be worth the pain.  Be aware before you use.  I threw my remaining 29 tea bags away!"
293226,B001HXJVCC,A3695BLAUYCOEF,rhonda knotts,0,0,2,1310342400,Looked good but not good quality candy,Cute item bu the chocolate was not good tasting. No one really wanted to eat it. Overpriced for what it was.
293227,B004XGCWX0,A33XU641KEUQLL,FRAN,0,0,5,1327622400,MRS DASH,THIS IS A GREAT PRODUCT TO USE WHEN GRILLING BECAUSE IT CONTAINS NO SALT AND ADDS GREAT FLAVOR TO YOUR FOOD CANNOT FIND AT THE SUPERMARKETS. SEEMS THEY DONT CARRY GRILLING BLENDS
293228,B000I6O3B8,AJCQOP2QYETIY,Miss DC,0,0,1,1339891200,Horrible!,"This is the worst coffee I've ever tasted.  I always buy amaretto-flavored coffee in June for my wedding anniversary since it reminds us of our wedding cake.  This is just terrible.  It tastes a bit like plastic.  I have three unopened bags, and I certainly not going to brew and drink them.  I thought about giving them away, but I don't hate anyone that much.  Is a refund available?"
293229,B000I6O3B8,AC1R36TL663OH,da Guy,0,0,5,1325462400,Almond Amaretto,Great Stuff For Grandma who loves Almond Amaretto Coffee. She is very hard to buy gifts for because Granny has a bunch of stuff
293230,B000I6O3B8,A2BWVQS7ESRRC2,Gift Card Recipient,0,0,2,1317600000,"Sometimes good, often bitter",I must agree with other reviewers that this coffee is sometimes bitter with a strange taste that I haven't noticed in other amaretto flavored coffee.
293231,B000I6O3B8,A7NDIQ5QSBC6A,"J. Dennis ""Italian mama""",0,0,1,1293926400,Jacque D.,"This coffee had good ratings on Amazon,so I thought it would be a good purchase. I was excited to find the almond amaretto coffe for a reasonable price. I can not find this flavored coffee where I live. When I opened the bag,I was pleased with the aroma, but when brewed the coffee had a very bitter taste. I thought I had just added too much coffee. Next morning,I tried again using a little less coffee. It was still bitter.I have tried different amounts and every time it is BITTER. I have 3 more bags of coffee that I don't like.Can I send them back or get a refund?"
293232,B000I6O3B8,ARI7X2A8M3UW0,"E. CONNER ""Monkimom""",0,0,1,1290211200,Strange Smell/ Taste,"I was excited when this package arrived, but very disappointed the next morning.  This coffee has a strange chemical taste/smell and is undrinkable.  I now have four bags I can't use...not happy!"
293233,B000I6O3B8,A3RYWRIHN8PELF,R. J. Sorretto,0,0,5,1281225600,"Oh, It's So Good!","This amaretto coffee is wonderful, with a nice mellow flavor. The almond flavors are layered between toasted almonds and amaretto flavoring. It became one of my favorite coffees as soon as I smelled it, and when I tasted it, I was hooked. If you like flavored coffees with a true, rich blend, you will love this one."
293234,B000I6O3B8,A1H4QWLST1N3D0,K. Hamacher,0,0,5,1268006400,Great tasting coffee,"What can I say?  I just ordered another flavor from the same company.  Every one in my office comments on the rich smell and having a cup in the morning is something I look forward to.  If you like flavored coffee, you will like this one."
293235,B000I6O3B8,A1GDEQIGFPRBNO,Barbara Edwards,0,0,5,1244851200,Heavenly!,"Rich, smooth taste with just the right amount of almond flavor.  I wasn't sure how much flavor it would have, but I love amaretto and was very pleasantly surprised.  I usually buy whole bean and grind some as I need it, so I wasn't sure how the ground would work - if it would stay fresh and have a decent taste.  My taste buds were excited as the aroma from the first pot wafted throughout the whole house!.  It keeps well in the freezer, and the last pot from the opened bag was just as good as the first."
293236,B000LJDPKW,A2VC8GVTTU60YO,TZ2DSR,7,8,1,1228089600,Made in China,"Why gamble with your dog's health? These are made in China.<br />Since Chinese manufacturers have proven that they don't care if they make Chinese children sick and die,<br />why would they care about American dogs??<br />I wouldn't have checked even ONE star but this review would not post<br />until I checked one.<br /><br />Check out Nature's Variety Brand products instead."
293237,B000LJDPKW,A135XHGMBR0OWF,"Frances R. Dickman ""Duchess of Westbury""",3,3,5,1173744000,Best Treats for Your Dog,"These are the best treats for your dog.  I have a very finicky Shih Tzu who thinks she is the Queen of England and is very fussy about food.  She will not touch ""dog food"" and the only dog treats she will eat are the ones made by Pet 'n Shape.  Amazon's price for these is the lowest anywhere online.  The best price I got the last time I ordered them was $12 for each 16oz container based on an order of 6.  That I got them for $1.40 less for each container with free shipping was positively amazing.  I seem to be doing most of my shopping on Amazon these days and I think Amazon is the best.<br /><br />Fran<br /><br />Westbury, NY"
293238,B000LJDPKW,A5VS2IKX4LO3P,S. Figueroa,1,1,4,1176422400,My dog loves these!,"They are great as treats. The only thing that I thought was kinda weird was the fact that there seems to be some kind of red coloring or something. At first I thought my dog's gums were bleeding or something but it seems that its just a part of the product. Otherwise, he goes crazy for them so I'm glad I got these."
293239,B000LJDPKW,A2NV129CKU0HBT,T. Griffin,0,0,5,1247529600,Ingredenients: Chicken breast. period.,100% chicken breast. How much more healthy can you get? I buy these every couple of months and will continue to.<br /><br />To:Made in China (reviewer)<br />Q: ...why would they care about American dogs??<br />A: Because they wouldn't make any money if their treats hurt dogs.
293240,B000LJDPKW,A1JK3X941H3CKV,Leslie,0,0,5,1243987200,My Jack Russell terrier loves these,"This is my second order of these treats.  My dog loves them, and I think they are good for her."
293241,B000LJDPKW,A2NT7O283UU19O,Phoebe,0,0,5,1238889600,five paws,"I am a Cavalier King Charles Spaniel with a long heritage of discriminating taste. Pet'n Shape products are my most favored treats,and I am especially fond of Chik 'n Breast. They are pure chicken with no additives, and, as I am watching my figure, they break easily into smaller morsels, so I can exercise moderation in this delectable indulgence. Ten out of ten of my canine neighbors agree that this reward is well worth obeying a command or two. I give it five paws up.<br /><br />Sincerely, Phoebe"
293242,B000LJDPKW,ANLXJR3XBXYYW,"Stepen Z. Bardowski ""Life long Bears' fan.""",0,0,4,1227052800,Chicken Jerky in a Jar,My three dogs enjoyed the treats.  The plastic jar kept the mess to a minimum.  What else can I say?
293243,B000LJDPKW,A3C9Q3KTNNLJJ,SouthernAmazoner,0,0,5,1214697600,My Dog Loves These Treats!,"We've got a really picky eater of a dog.  Actually ""picky"" doesn't adequately describe him.  But when these treats come by mail, he rushes to open the package himself.  These treats are his favorite by far.  His other choice is another treat by Pet 'n Shape (the sweet potatoes).  I doubt there is any dog alive that doesn't gulp these down."
293244,B000LJDPKW,AINJMP0IGTS1G,Wayne Case,0,0,5,1181433600,"Excellent, nutritious dog treat","This dog treat is one that my dog went crazy over.  Whenever she smelled it she was in her nice sitting positon trying to go into the up position or sticking out her paws to shake....basically all the tricks she knew. High in protein and low in moisture, a treat that was also good for her. I would sometimes cut up some with her food, which guaranteed an empty bowl. All in all a great treat in my left pocket the had all the neighbourhood dogs hanging around me. Great cost to value."
293245,B001EO772A,A3JLZNTJ1JLEAJ,Jennifer L. Gottardi,12,13,5,1182902400,Delicious Coffee!,"I love this coffee!  I love the flavor and a huge bonus: Ever since I switched to it my acid reflux is gone.  My guess is because it's organic, I'm not sure."
293246,B001EO772A,A3RM5FW3BOEDOG,Anne American,5,5,5,1236038400,Great Medium Roast,"I don't like the burnt flavor of a coffee thats roasted too long, so I love the mild flavor of this medium roast. If you like coffee beans that are cooked/roasted a long time, don't buy this, otherwise you'll love it."
293247,B001EO772A,A2SRVDDDOQ8QJL,M. J Lane,6,7,3,1206576000,Too acidic,"I wrote reviews for the Cafe Altura whole roasted beans as well.  In the case of the whole beans I was really disappointed because some of the beans were badly burned (to the point of carbonization) and it ruined the flavor of the cup.<br /><br />I this case my review is not nearly as negative.  The roast of the beans that went into this ground coffee looks even.  However, the acidity comes across very strong and registers as an unpleasant sourness.  The aroma is balanced and if that were the only measure I was going by then I may give 4 or even 5 stars.  The true flavor of this coffee is overwhelmed by the acidity.  They may be able to improve the situation by darkening the roast a bit.<br /><br />I will probably continue to give Cafe Altura another chance when it goes on sale.  If I notice they are getting it right I'll edit my reviews accordingly."
293248,B001EO772A,AOD9C3IQXA3OG,"RaeRaeBear ""raeraebear""",3,3,5,1209168000,Great Coffee,This coffe is great.  Our acid reflux is gone.  This is the only coffee I am buying from now on.
293249,B001EO772A,A1A3VXAK3HR6U6,bookreader,2,2,5,1208217600,One of the best tasting coffees you can feel good about!,"I must say for the price of the coffee I was a bit nervous about what I might receive, but all I can say is that I am very pleased.  I would compare the flavor to a Maragoya, but a little lighter. It is a light roast so the flavor makes for an exceptional pairing to a simple breakfast of a croissant or other light bread, the flavor is by no means intense but it is there.  As for the acidic nature of the coffee I would place it is on par with most coffee house light blends and a below a Italian roast.  Overall a good coffee and if you do not like it, the tins are nice enough to make a present of or as a donatation to the church for after service coffee."
293250,B001EO772A,A1MH64TF3QWLQW,Gwen,2,2,5,1207526400,Delicious!,"Great coffee.  Because it is organic, it is missing that slight bitterness that many non-organics have.  Smooth, tasty, and full-bodied.  Makes a nice gift too."
293251,B001EO772A,A1WQP7LCVQK3JZ,zmkr788,1,1,5,1335916800,good coffee.,"we got this coffee cause we can't find yuban organic, I find this coffee smooth and not bitter, but strong, my wife who drinks more coffee, agrees that this coffee, can be compared to yuban organic, we just don't want any more pesticides loaded coffee, so we will be drinking Cafe Altura, as a clean organic pesticide free coffee."
293252,B001EO772A,AE1AO8UPAO4AX,"Barbara A. Russell ""Triadbooks""",1,1,5,1325635200,Great Coffee,"I have been using Organic Yuban coffee for the past few months and then I wasn't able to get it any longer through Amazon, so tried this one. I loved it, better than the Yuban, smooth good taste."
293253,B001EO772A,A653IPI0O7AAZ,Barbara Smith,1,1,5,1315094400,The Best Coffee,"This coffee is the most aromatic, smoothest tasting ""organic"" ground coffee I have ever tried. It is as good as its claim. There is absolutely no ""bitter"" taste. In fact, it is the first coffee, organic or otherwise, that I have ever been able to drink ""iced"" with no sweetener of any kind."
293254,B001EO772A,A2211XUAO701D7,Baroke,1,1,3,1314748800,Weak - more like strong tea,I wasn't a big fan of this coffee.  I love that it's organic but it didn't have a rich taste and always seemed to brew like very dark tea no matter how much I put in.  Trying something else.
293255,B001EO772A,ANS906E4EOXB3,Lilac Lily,1,1,5,1243641600,Coffee without bitterness,I really enjoy this coffee particularly because it doesn't have the usual bitterness that other brands have. I love that it's organic and harvested in an environmental friendly way!
293256,B001EO772A,A2Z57XOTSJS4F2,J. PARKER,1,1,5,1230422400,good coffee,This coffee is very good and I recommend it. It tastes fresh and full bodied. It is much better than I expected it to be.  I will order it again.
293257,B001EO772A,A2WC9NFLG57W4H,"Momma Mary ""Expert Mom!""",1,1,5,1216944000,"Great Coffee, pleasantly surprised!!","I purchased this on clearance, just because it was organic, 1/2 expecting it to be stale, as that is what others said about the clearance items going out of code in the VERY near future! I wish I had ordered 10 or more!! I usually only really LOVE the flavored coffees, but this was so amazingly rich & flavorful that I am tempted to buy again at full price!  For those that know me that is saying A LOT!! LOL I am an avid ""bargain"" shopper, so this stuff is tOP NOTCH!! YUMMO!! (as Rachel says!!)"
293258,B001EO772A,A204QN2VRUQA9B,Fred T. Belcher Jr.,0,0,5,1344643200,Excellent all around brew,This is the best all around java I have ever brewed in my Presto percolator. I don't even need a  filter of any kind and I can let the grounds sit in basket for an hour or so so and it is still not bitter. It can even be reheated and taste about the same as the original brew. Excellent medium bodied taste.
293259,B001EO772A,A2ZY8JHHZ8XQYF,Talkahuano,0,0,3,1340668800,"Good for you, but a little burnt.","Maybe I got a bad batch, but the coffee was slightly burned. Smells and tastes a bit burned.<br />Otherwise, feels good, not hard on the stomach at all, and it's better for you than most coffees out there I suppose. It'll take me a couple months to go through it, so I don't mind the price."
293260,B001EO772A,A2WSZVD3WYBJIM,Red Head,0,0,5,1325635200,"A wonderful, fresh coffee!","This is a very nice, medium roast coffee!  It's sealed in airtight containers and always comes out fresh.  I would definitely recommend it!  :)"
293261,B001EO772A,AUZ3EJAU37NC5,Old Latin teacher,0,0,4,1312675200,"Very, very close to what I'm looking for.","(4.5 stars)  I'm always on the search for a good-tasting, satisfying, fragrant coffee with a price that's within my budget.  The closest I've ever come is Dunkin Donuts medium roast but even that has gone up more than 50% in price in the last year or so.<br /><br />I was just given the opportunity in the Vine program on Amazon to test Puroast low-acid coffee.  Sounded like a good thing, but it turned out to taste like burnt mud.  So I went looking for another alternative on Amazon and am so glad I found this organic medium roast.  It's pretty darn good for the price.  Relatively fragrant, nicely strong but not burnt or bitter in flavor and not acid producing.  And the price is great.  Once I figure out how often I'll be needing a new 3-pack we're probably going to go for the Subscribe and Save program."
